iteration	commit	metric	delta	status
1	19fd801	NA	NA	crashed-OOM
2	6ca5108	0.4104	-0.0216	kept
3	f280134	0.4059	-0.0046	kept
4	367ff32	0.3929	-0.0129	kept
5	a77658e	0.3900	-0.0030	kept
6	00fba60	0.3985	+0.0085	reverted
7	0ed3bda	0.4129	+0.0229	reverted
8	da568e7	0.3575	-0.0325	kept
9	0b2549f	0.3946	+0.0371	reverted
10	0138fa5	0.3318	-0.0257	kept-2warn
11	973df2f	0.3280	-0.0038	kept-2warn
12	13a5bc4	0.3241	-0.0039	kept-1warn
13	7c094e4	0.3854	+0.0613	reverted
14	0fad958	0.3251	+0.0010	reverted
15	493c76f	0.2514	-0.0727	kept-1warn
16	ed99661	0.2436	-0.0078	kept-1warn
17	2f29f9d	0.2428	-0.0009	kept-1warn
18	b6f44e1	0.2772	+0.0344	reverted
19	cb16708	0.2412	-0.0016	kept-1warn
20	091c6a4	0.2205	-0.0207	kept-1warn
21	54a9be5	0.2051	-0.0154	kept-1warn
22	dc7cf5b	0.1922	-0.0128	kept-1warn
23	f04afa3	0.2024	+0.0102	reverted
24	edbb4b9	0.1930	-0.0008	kept-1warn
25	84b3a07	0.1662	-0.0260	kept-1warn
26	dbb7d5b	0.1657	-0.0005	kept-1warn
27	21aa568	0.1839	+0.0182	reverted
28	1566d84	0.1635	-0.0022	kept-1warn
29	6679cf0	0.1663	+0.0028	reverted
30	6ddf1f1	0.1633	-0.0002	kept-1warn
31	a787c30	0.1593	-0.0040	kept-1warn
32	6ef91a9	0.1733	+0.0140	reverted
33	2956299	0.1637	+0.0044	reverted
34	1563777	0.1584	-0.0009	kept-1warn
35	03c42ae	0.1622	+0.0038	reverted
36	d9f7e52	0.1588	+0.0004	reverted
37	ca886c0	0.1577	-0.0007	kept-1warn
38	ecc46b4	0.1559	-0.0018	kept-1warn
39	c2bcb74	0.1565	+0.0006	reverted
40	1cf266b	0.1558	-0.0001	kept-1warn
41	484aedf	0.1573	+0.0015	reverted
42	d0303e1	0.1558	+0.0000	kept-noop
43	6d237ba	0.1566	+0.0008	reverted
44	ba0176f	0.1558	+0.0000	kept-noop
45	62e3ba9	0.1559	+0.0001	reverted
46	fea902c	0.1548	-0.0010	kept-1warn
47	601299c	0.1548	+0.0000	kept-noop
48	a00c111	0.1591	+0.0043	reverted
49	bb1afdc	NA	NA	crashed-runtime
50	924342b	0.1548	-0.0000	kept-1warn
